2026/03/31 11:34:08:164 [CDevice] CAM_SerialWrite OK
2026/03/31 11:34:13:253 [CDevice] CAM_SerialWrite OK
2026/03/31 11:34:59:086 [CDevice] CAM_SerialWrite OK
2026/03/31 11:35:04:096 [CDevice] CAM_SerialWrite OK
2026/03/31 11:35:16:878 [CDevice] CAM_SerialWrite OK
2026/03/31 11:35:21:889 [CDevice] CAM_SerialWrite OK
2026/03/31 11:36:13:972 [CDevice] CAM_SerialWrite OK
2026/03/31 11:36:17:095 [CDevice] CAM_SerialWrite OK
2026/03/31 11:36:19:013 [CDevice] CAM_SerialWrite OK
2026/03/31 11:36:22:110 [CDevice] CAM_SerialWrite OK
2026/03/31 11:36:28:599 [CDevice] CAM_SerialWrite OK
2026/03/31 11:36:33:620 [CDevice] CAM_SerialWrite OK
2026/03/31 11:37:13:601 [CDevice] CAM_SerialWrite OK
2026/03/31 11:37:18:650 [CDevice] CAM_SerialWrite OK
2026/03/31 11:37:22:790 [CDevice] CAM_SerialWrite OK
2026/03/31 11:37:27:812 [CDevice] CAM_SerialWrite OK
2026/03/31 11:38:28:650 [CDevice] CAM_SerialWrite OK
2026/03/31 11:38:33:665 [CDevice] CAM_SerialWrite OK
2026/03/31 11:38:49:806 [CDevice] CAM_SerialWrite OK
2026/03/31 11:38:54:835 [CDevice] CAM_SerialWrite OK
2026/03/31 11:39:08:086 [CDevice] CAM_SerialWrite OK
2026/03/31 11:39:13:101 [CDevice] CAM_SerialWrite OK
2026/03/31 11:39:52:650 [CDevice] CAM_SerialWrite OK
2026/03/31 11:39:57:664 [CDevice] CAM_SerialWrite OK
2026/03/31 11:40:04:963 [CDevice] CAM_SerialWrite OK
2026/03/31 11:40:09:981 [CDevice] CAM_SerialWrite OK
2026/03/31 11:40:52:424 [CDevice] CAM_SerialWrite OK
2026/03/31 11:40:57:450 [CDevice] CAM_SerialWrite OK
2026/03/31 11:42:07:568 [CDevice] CAM_SerialWrite OK
2026/03/31 11:42:12:577 [CDevice] CAM_SerialWrite OK
2026/03/31 11:42:13:618 [CDevice] CAM_SerialWrite OK
2026/03/31 11:42:18:620 [CDevice] CAM_SerialWrite OK
2026/03/31 11:42:31:530 [CDevice] CAM_SerialWrite OK
2026/03/31 11:42:36:550 [CDevice] CAM_SerialWrite OK
2026/03/31 11:42:53:089 [CDevice] CAM_SerialWrite OK
2026/03/31 11:42:58:115 [CDevice] CAM_SerialWrite OK
2026/03/31 11:43:46:710 [CDevice] CAM_SerialWrite OK
2026/03/31 11:43:51:734 [CDevice] CAM_SerialWrite OK
2026/03/31 11:44:37:908 [CDevice] CAM_SerialWrite OK
2026/03/31 11:44:42:924 [CDevice] CAM_SerialWrite OK
2026/03/31 11:46:58:693 [CDevice] CAM_SerialWrite OK
2026/03/31 11:47:03:705 [CDevice] CAM_SerialWrite OK
2026/03/31 11:47:07:702 [CDevice] CAM_SerialWrite OK
2026/03/31 11:47:12:718 [CDevice] CAM_SerialWrite OK
2026/03/31 11:47:22:880 [CDevice] CAM_SerialWrite OK
2026/03/31 11:47:27:894 [CDevice] CAM_SerialWrite OK
2026/03/31 11:47:29:021 [CDevice] CAM_SerialWrite OK
